p_id,Name,Brand,Price,DiscountedPrice,Category,SubCategory,Quantity,Description,BreadCrumbs
dmart1007,"Britannia Diced Pizza Cheese Blend",Britannia,350,295,"Dairy & Beverages",Dairy,"500 gm","Overview- Britannia Diced Pizza Cheese Blend brings to you a perfect blend of mozzarella cheese and cheddar cheese- This diced cheese is commonly used in starters and sides- Mozzarella is the most popular cheese option for a pizza and the cheddar cheese blends well with it- It is packed with calcium and minerals that are essential for the body- It has the most important nutrients for promoting bone health- It is perfect for any pizza making it flavourful and oh so gooey.Key Features- Used in a wide range of dishes- Rich in proteins, calcium and minerals.How to Use- This diced cheese is amazing for pizzas- It can also be used in sandwiches and toasts at home- Cut it into small cheesy chunks, melt it for a perfect cheese pull or grate it as a topping.IngredientsMozzarella Cheese- 70% (Milk Solids, Iodised Salt, Active Cultures & Microbial Enzyme) And Cheddar Cheese- 30% (Milk Solids, Iodised Salt, Active Cultures & Microbial Enzyme)Care Instructions- When stored refrigerated, it can be enjoyed for as long as nine months.","Dairy & Beverages > Dairy"
dmart1008,"Bru Instant Coffee Pouch",Bru,90,83,"Dairy & Beverages",Beverages,"50 gm","
Made from a fine blend of choicest plantations and robust beans, BRU Instant coffee offers a rich coffee taste. Our strong processes ensure that the fresh coffee aroma is preserved so that you get the best coffee experience, instantly. Who needs a coffee machine!
","Dairy & Beverages > Beverages"
dmart1009,"Tea Culture Of The World Moroccan Mint Exotic Tea","Tea Culture Of The World",249,175,"Dairy & Beverages",Beverages,"20 Bag","Key Features- The Infusion : Smooth and Minty- Aroma: Fresh and Minty - Appearance: Vibrant Green- Taste: Refreshing and subtly sweet.How to UseTear open the sachet, steep the tea bag in hot water (80&deg;C) for 3 minutes and sip it up. You can add honey or sugar for sweetness as required.Benefits 1. May help relieve heartburn and stomach ailments.2. Antioxidants in peppermint may promote healthy skin.3. Antioxidants in green tea may protect against chronic diseases such as cancer and heart diseases.Care InstructionsStore in room temperature, Do not keep under sunlight.About the BrandThey started the journey in 2010 and today Tea Culture Of The World delights tea connoisseurs across India and the world with its signature blends of over 80 exquisite herbal and flavoured teas. Each is an experience unto itself.To make handcrafted whole leaf teas they started by first handpicking the tea estates. They plucked from places as far and wide as Japan, China, Vietnam, South Africa, Argentina, and of course, India. Fruits and herbs, from Europe. Flowers, from Egypt.When each blend is an invitation from the Founder to indulge in an experience that will linger for long, nothing less will do.","Dairy & Beverages > Beverages"
dmart101,"Kokan Gem Goa Cashew Premium (Kaju)","Kokan Gem",750,579,Grocery,"Dry Fruits","500 gm","OverviewKonkan Gem processes cashew seed only from Goa and the border of Goa and Konkan. These cashews are great in taste and are known to be one of the best in the world.IngredientsCashewsOther must know InformationBest before Nine months from packaging.","Grocery > Dry Fruits"
dmart1010,"Bru Instant Coffee Pouch",Bru,380,299,"Dairy & Beverages",Beverages,"200 gm","
Made from a fine blend of choicest plantations and robust beans, BRU Instant coffee offers a rich coffee taste. Our strong processes ensure that the fresh coffee aroma is preserved so that you get the best coffee experience, instantly. Who needs a coffee machine!
","Dairy & Beverages > Beverages"
dmart1011,"Twinings Pure Green Tea",Twinings,999,820,"Packaged Food","Gourmet Food","100 Bags","Key Features- A Soothing Blend: As dawn breaks and the dewy mist hangs in the air, fresh leaves are picked to lock in the pleasant green flavour. Handpicked from select gardens, their Pure Green Tea is a refreshing drink. You will surely enjoy this soothing blend.- Natural & Distinctive: An earthy blend that retains its natural, distinctive flavour. Once given as a precious gift in China, let this gentle tasting blend be a gift from them to you.  Benefits: Pure green tea has less than one calorie and is a good source of hydration. Green teas are generally lower in caffeine than black teas. The Chinese believe that Green Teas can aid digestion.  How To Make The Perfect Pure Green Tea: Boil some water and let it cool down a bit. Then pour the water in a cup and add a teabag. Let it brew for a max 2 minutes or you may lose the delicate taste. Take a sip and let it revitalise you.About the Brand The legacy of collecting the best tea from select tea gardens throughout the world got Twinings Royal Warrant by Queen Victoria for making tea for the British Monarchs. Your perfect tea break&ndash; generations in the making.","Packaged Food > Gourmet Food"
dmart1012,"NescafÃ© Classic Coffee",Nescafe,160,135,"Dairy & Beverages",Beverages,"50 gm","
100% pure natural coffee beans go into making every granule of NescafÃ© Classic. With the new world class ERA technology, you get richer aroma and an unmatched coffee experience to stimulate your senses every morning with your favourite NescafÃ©. The Coffee is 100% natural and contains antioxidants which helps in fighting free radicals.
So grab your favourite NescafÃ© Classic and kick start your day the NescafÃ© way!
","Dairy & Beverages > Beverages"
dmart1013,"NescafÃ© Classic Coffee",Nescafe,600,555,"Dairy & Beverages",Beverages,"200 gm","
100% pure natural coffee beans go into making every granule of NescafÃ© Classic. With the new world class ERA technology, you get richer aroma and an unmatched coffee experience to stimulate your senses every morning with your favourite NescafÃ©. The Coffee is 100% natural and contains antioxidants which helps in fighting free radicals.
So grab your favourite NescafÃ© Classic and kick start your day the NescafÃ© way!
","Dairy & Beverages > Beverages"
dmart1014,"D'lecta Cheese Slices",D'lecta,310,155,"Dairy & Beverages",Dairy,"400 gm","Key Features- 100% Cheddar Cheese Slices.- 100% Vegetarian.- Made from Cow's Milk.- Great ease and economy of usage- More cheese, less filler.- Fresh flavour, great taste.- Soft texture.How to UseCan be consumed directly, no cooking required. Remove outer wrapping before consumption.Any Other Must-Know InformationSource of Protein, Made from Cow Milk.Disclaimer If AnyContains Milk & Soya.BenefitsProcessed Cheese Slices, individually wrapped for economy and ease of use. Mild Cheddar can be used in burgers & sandwiches.Care InstructionsStore refrigerated 2-4 á´¼C, remove wrapper before consuming.About The BrandD&rsquo;lecta is one of India's fastest growing Cheese Brands. They specialize in premium cheeses like Cream cheese, Feta, Natural Cheddar, Mozzarella, and Melton. Their products are available in more than 1500 national modern trade chain stores, and more than 10000 GT retailers.","Dairy & Beverages > Dairy"
dmart1015,"NescafÃ© Classic Coffee",Nescafe,1320,1220,"Dairy & Beverages",Beverages,"500 gm","
100% pure natural coffee beans go into making every granule of NescafÃ© Classic. With the new world class ERA technology, you get richer aroma and an unmatched coffee experience to stimulate your senses every morning with your favourite NescafÃ©. The Coffee is 100% natural and contains antioxidants which helps in fighting free radicals.
So grab your favourite NescafÃ© Classic and kick start your day the NescafÃ© way!
","Dairy & Beverages > Beverages"
dmart1016,"NestlÃ© Everyday Dairy Whitener",Nestle,535,474,"Dairy & Beverages",Dairy,"1 kg","OverviewNestle Everyday is a dairy whitener also called dried milk powder that gives you a tastier and thicker cup of tea every time. Nestle Everyday is tea&rsquo;s best partner, it completely mixes into your tea that lifts your spirits and enlightens your day.Key Features- Tea-enhancing milk powder that completely dissolves in tea to enhance its flavour. - Get rich and delicious tea every time with Everyday Powder. - Comes with added sugar to make the perfect cup of tea.IngredientsMilk Solids, Sugar, Maltodextrin, and Stabilizer 339.How to UseAdd 1 tbsp. of Nestle Everyday to 100 ml of water and tea leaves for the perfect cup of tea.Storage InstructionsAfter opening, transfer the contents into an airtight container to avoid lumping. Store in a cool, dry and hygienic placeAbout the BrandNestle are the Good food, Good Life Company. They believe in the power of food to enhance lives. Good food nourishes and delights the senses. It helps children grow healthy, pets thrive, parents age gracefully and everyone lives life to the fullest. Good food brings us together. Good food also respects our planet and protects resources for future generations. At Nestl&eacute;, they constantly explore and push the boundaries of what is possible with foods, beverages, and nutritional health solutions to enhance the quality of life and contribute to a healthier future. They focus our energy and resources where unlocking the power of food can make the greatest difference to the lives of people and pets, protect and enhance the environment, and generate significant value for our shareholders and stakeholders alike.","Dairy & Beverages > Dairy"
dmart1017,"D'lecta Cheese Slices",D'lecta,160,99,"Dairy & Beverages",Dairy,"200 gm","Key Features- 100% Cheddar Cheese Slices.- 100% Vegetarian.- Made from Cow's Milk.- Great ease and economy of usage- More cheese, less filler.- Fresh flavour, great taste.- Soft texture.How to UseCan be consumed directly, no cooking required. Remove outer wrapping before consumption.Any Other Must-Know InformationSource of Protein, Made from Cow Milk.Disclaimer If AnyContains Milk & Soya.BenefitsProcessed Cheese Slices, individually wrapped for economy and ease of use. Mild Cheddar can be used in burgers & sandwiches.Care InstructionsStore refrigerated 2-4 á´¼C, remove wrapper before consuming.About The BrandD&rsquo;lecta is one of India's fastest growing Cheese Brands. They specialize in premium cheeses like Cream cheese, Feta, Natural Cheddar, Mozzarella, and Melton. Their products are available in more than 1500 national modern trade chain stores, and more than 10000 GT retailers.","Dairy & Beverages > Dairy"
dmart1018,"Gowardhan Paneer Classic Block",Gowardhan,98,83,"Dairy & Beverages",Dairy,"200 gm",India,"Dairy & Beverages > Dairy"
dmart1019,"Amul Diced Blend Cheese",Amul,495,455,"Dairy & Beverages",Dairy,"1 kg","   Page Title   Key FeaturesBlend of Diced Cheddar and Diced MozzarellaIngredientsFat: Minimum 21%Moisture: Maximum 50%Protein: Minimum 23%Added Salt: Maximum 2%Calorific Value: 291 Kcal./100gHow to UseBefore baking, sprinkle appropriate amount on pizza. The fine dices have a tangy flavour and may be used in a variety of recipes, including pizza, pasta, and nachos.Care InstructionsTo be stored frozen and thawed before use.Any Other Must-Know InformationIt's a combination of mozzarella and cheddar cheese. Amul has created a one-of-a-kind product. Simply sprinkle and savour the cheesy delights.About the BrandAmul was founded in 1946 to combat middlemen exploitation. The Amul model has helped India become the world's largest milk producer. Amul also manufactures cheese dahi, lassi, ice cream, and other dairy products. ","Dairy & Beverages > Dairy"
dmart102,"Tata Sampann Moong Chilka",TATA,84,75,Grocery,Dals,"500 gm","Overview:Packed with protein and low on carbs, green gram or moong dal is one of the best vegetarian superfoods. An integral part of the Indian diet, it is a good and filling option for those who want to shed kilos. Studies have shown that it helps protect you from skin cancer and skin pollution. A must eat for all the metro dwellers of India.Known to be one of the best natural sources of protein, Tata Sampann Moong Chilka is unpolished, i.e. it does not undergo any artifical polishing with water, oil or leather, thereby retaining its goodness and protein content.Key FeaturesAids in weight lossNaturally healthyProcessed in hygienic conditions5-step purity processStorage ConditionStore in a cool and dry place.","Grocery > Dals"
dmart1020,"Gowardhan Paneer Classic Block",Gowardhan,225,180,"Dairy & Beverages",Dairy,"500 gm",India,"Dairy & Beverages > Dairy"
dmart1021,"Gowardhan Go Cheese Slices - Plain","Gowardhan Go",155,120,"Dairy & Beverages",Dairy,"200 gm",India,"Dairy & Beverages > Dairy"
dmart1022,"Tetley Classic Immune Green Tea",Tetley,600,300,"Dairy & Beverages",Beverages,"100 Bags","
Tetley Green Tea with refreshing pure original flavour containing five times more antioxidants than fruit and vegetables, a cup of Tetley Natural Green Tea helps cleanse from within, from all those pollutants and toxins that our bodies are exposed to on a daily basis!! Rejuvenate yourself every day with a cup of Tetley Natural Green Tea. Bring fresh water to boil. Green tea is best made with water at 85*. Pour water into cup. Place one teabag and allow it to brew for about 2 mins. Remove the teabag. Sweeten with honey or sugar as desired. Green Tea is best had without milk.

*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
","Dairy & Beverages > Beverages"
dmart1023,"Le CafÃ© 100% Pure Instant Coffee","Le Cafe",108,54,"Dairy & Beverages",Beverages,"50 gm","OverviewLe Cafe Coffee is extracted from carefully selected Robusta & Arabica beans from the plantations of Tata Coffee. Each bean is carefully selected & roasted to perfection in the state of the art factories of Tata Coffee resulting in a great aroma & captivating coffee taste.IngredientsCoffee BeansStorage InstructionsStore in a Cool, Dry & Hygienic Place.","Dairy & Beverages > Beverages"
dmart1024,"NestlÃ© Everyday Dairy Whitener",Nestle,113,105,"Dairy & Beverages",Dairy,"200 gm","OverviewNestle Everyday is a dairy whitener also called dried milk powder that gives you a tastier and thicker cup of tea every time. Nestle Everyday is tea&rsquo;s best partner, it completely mixes into your tea that lifts your spirits and enlightens your day.Key Features- Tea-enhancing milk powder that completely dissolves in tea to enhance its flavour. - Get rich and delicious tea every time with Everyday Powder. - Comes with added sugar to make the perfect cup of tea.IngredientsMilk Solids, Sugar, Maltodextrin, and Stabilizer 339.How to UseAdd 1 tbsp. of Nestle Everyday to 100 ml of water and tea leaves for the perfect cup of tea.Storage InstructionsAfter opening, transfer the contents into an airtight container to avoid lumping. Store in a cool, dry and hygienic placeAbout the BrandNestle are the Good food, Good Life Company. They believe in the power of food to enhance lives. Good food nourishes and delights the senses. It helps children grow healthy, pets thrive, parents age gracefully and everyone lives life to the fullest. Good food brings us together. Good food also respects our planet and protects resources for future generations. At Nestl&eacute;, they constantly explore and push the boundaries of what is possible with foods, beverages, and nutritional health solutions to enhance the quality of life and contribute to a healthier future. They focus our energy and resources where unlocking the power of food can make the greatest difference to the lives of people and pets, protect and enhance the environment, and generate significant value for our shareholders and stakeholders alike.","Dairy & Beverages > Dairy"
dmart1025,"Amul Masti Spiced Buttermilk",Amul,14,13,"Dairy & Beverages",Dairy,"180 ml","
Replace your soup with Amul Buttermilk, it will give you dieting benefits. Take a glass full in early morning in place of Tea, Amul Buttermilk will improve the digestive function.
- Amul Masti Butter Milk is produced in very hygienic and clean atmosphere
- Scientific bacterial culture in Amul Buttermilk improves digestion
- Buttermilk is traditionally known as "Chhash"" (Gujarat & MP)"," ""Mattha"" (UP & Delhi)"
dmart1026,"Amul Masti Spiced Buttermilk",Amul,50,50,"Dairy & Beverages",Dairy,"1 L","
Replace your soup with Amul Buttermilk, it will give you dieting benefits. Take a glass full in early morning in place of Tea, Amul Buttermilk will improve the digestive function.
- Amul Masti Butter Milk is produced in very hygienic and clean atmosphere
- Scientific bacterial culture in Amul Buttermilk improves digestion
- Buttermilk is traditionally known as "Chhash"" (Gujarat & MP)"," ""Mattha"" (UP & Delhi)"
dmart1027,"NescafÃ© Sunrise Coffee",Nescafe,95,85,"Dairy & Beverages",Beverages,"50 gm","
Awaken your senses with the magical Taste of NESCAFÃ‰ SUNRISE. Great mornings begin with NESCAFÃ‰ Sunrise.

A Fine blend of coffee and chicory, expertly granulated to capture the rich aroma inside every AROMA GRANULE to give a captivating coffee experience that would leave you asking for more.
","Dairy & Beverages > Beverages"
dmart1028,"NescafÃ© Sunrise Coffee",Nescafe,380,342,"Dairy & Beverages",Beverages,"200 gm","
Awaken your senses with the magical Taste of NESCAFÃ‰ SUNRISE. Great mornings begin with NESCAFÃ‰ Sunrise.

A Fine blend of coffee and chicory, expertly granulated to capture the rich aroma inside every AROMA GRANULE to give a captivating coffee experience that would leave you asking for more.
","Dairy & Beverages > Beverages"
dmart1029,"D'lecta Shredded Mozzarella Cheese",D'lecta,305,244,"Dairy & Beverages",Dairy,"500 gm","  OverviewReady to make delicious homemade pizzas? This mozzarella cheese by D'lecta is perfectly stringy and adds more zing to your pizza.Key FeaturesPerfect pizza cheeseExcellent stretch of 15-20 cmMade from cow milkExcellent melting & browning characteristicsEasy to use shredded form - prevents wastageFree flowing cheese with no lumpinessIngredientsPasteurised Cow's Milk, Pasteurised Skimmed Milk, Iodised Salt, Stabilizer (INS 509), Microbial Culture & Microbial Rennet.Nutritional InfoNutrition Information (Per 100 g*)Energy 284 kcalFat 25 gProtein 24 gSalt 2.5 gCarbohydrate 0.59 g of which sugar # 0 gSugar 0.0 g*Approx. value # Sucrose. Total trans fat content not more than 0.9 percent by weight. Total saturated fat content not more than 13.5 percent by weight.How to consumePizzas, cheese fingers, sandwiches, spring rollsCan be consumed directly.Storage conditionStore frozen at or below -18 Â°C.Shelf lifeBest before 9 months from manufacturing date.About the BrandD'lecta, headquartered in Mumbai, is committed to helping farmers find a market for their produce. They started their operations with milk based products which continue to dominate their product portfolio. ","Dairy & Beverages > Dairy"
dmart103,"Satyam Chana Green",Satyam,175,162,Grocery,Pulses,"500 gm","OverviewChana Green or Chholia in Hindi is a famous legume used all over India. It usually grows during the winter months, and can be used in many popular dishes. They are highly nutritious and have a compelling taste.About the BrandIt takes experience & expertise to deliver the right taste. Since the past 40 years, Satyam has been in the trade of Spices, Dry Fruits, Pulse, and Groceries. Keeping pace with consumer requirements, they have introduced a hygienically processed consumer pack of Satyam Spices, Dry-Fruits, Pulses, and Groceries.","Grocery > Pulses"
dmart1030,"Amul Fresh Paneer",Amul,362,330,"Dairy & Beverages",Dairy,"2x500 gm","OverviewAmul Fresh Paneer is made from pure milk, hygenically packed untouched by hand. It adheres to FSSAI norms. Amul fresh paneer is a rich source of protein.IngredientsMilk Solids, Citric acid","Dairy & Beverages > Dairy"
dmart1031,"D'lecta Cheese Cubes",D'lecta,155,119,"Dairy & Beverages",Dairy,"200 gm","OverviewD'lecta cheese cubes, made from cow milk are 100 % vegetarian. THis pack of 10 cheese cubes can be used as a snack. You can also add it to salads, toasts or canapes. It is easy to grate.Key FeaturesMade from cow milkProcessed cheddar cheese cubesEasy open foil packagingCan be easily grated, diced or shreddedGood melting characteristicsGives a richy cheesy taste to foodsIngredientsCheese, Milk Solids, Emulsifiers (INS 331(iii), INS 452(i), INS 340(ii)), Iodized Salt, Preservative (INS 200).Nutritional InfoNutrition Information (Per 100 g*)Energy 326 kcalFat 26 gProtein 19 gCarbohydrate 4 gSugar 0 gVitamin A345 mcgCalcium 612 mgPhosphorus 584 mgSodium 1439 mg* Approx. Value # Sucrose. Total trans fat content not more than 0.9 percent by weight. Total saturated fat content not more than 14.30 percent.How to consumeGrilled sandwiches, pizza, cheese fingers, cheese dosa, cheese pav bhaji.Can be consumed directly.Storage conditionStore chilled at or below 0 to -4Â°CShelf lifeBest before 9 months from manufacturing date.About the BrandD'lecta, headquartered in Mumbai, is committed to helping farmers find a market for their produce. They started their operations with milk based products which continue to dominate their product portfolio.","Dairy & Beverages > Dairy"
dmart1032,"NestlÃ© Everyday Dairy Whitener",Nestle,218,198,"Dairy & Beverages",Dairy,"400 gm","OverviewNestle Everyday is a dairy whitener also called dried milk powder that gives you a tastier and thicker cup of tea every time. Nestle Everyday is tea&rsquo;s best partner, it completely mixes into your tea that lifts your spirits and enlightens your day.Key Features- Tea-enhancing milk powder that completely dissolves in tea to enhance its flavour. - Get rich and delicious tea every time with Everyday Powder. - Comes with added sugar to make the perfect cup of tea.IngredientsMilk Solids, Sugar, Maltodextrin, and Stabilizer 339.How to UseAdd 1 tbsp. of Nestle Everyday to 100 ml of water and tea leaves for the perfect cup of tea.Storage InstructionsAfter opening, transfer the contents into an airtight container to avoid lumping. Store in a cool, dry and hygienic placeAbout the BrandNestle are the Good food, Good Life Company. They believe in the power of food to enhance lives. Good food nourishes and delights the senses. It helps children grow healthy, pets thrive, parents age gracefully and everyone lives life to the fullest. Good food brings us together. Good food also respects our planet and protects resources for future generations. At Nestl&eacute;, they constantly explore and push the boundaries of what is possible with foods, beverages, and nutritional health solutions to enhance the quality of life and contribute to a healthier future. They focus our energy and resources where unlocking the power of food can make the greatest difference to the lives of people and pets, protect and enhance the environment, and generate significant value for our shareholders and stakeholders alike.","Dairy & Beverages > Dairy"
